温度(℃)	数值
30.0	158.00
30.1	185.70
30.2	213.40
30.3	241.10
30.4	268.80
30.5	296.50
30.6	324.20
30.7	351.90
30.8	379.60
30.9	407.30
31.0	435.00
31.1	462.70
31.2	490.40
31.3	518.10
31.4	545.80
31.5	573.50
31.6	601.20
31.7	628.90
31.8	656.60
31.9	684.30
32.0	712.00
32.1	739.60
32.2	767.20
32.3	794.80
32.4	822.40
32.5	850.00
32.6	877.60
32.7	905.20
32.8	932.80
32.9	960.40
33.0	988.00
33.1	1015.60
33.2	1043.20
33.3	1070.80
33.4	1098.40
33.5	1126.00
33.6	1153.60
33.7	1181.20
33.8	1208.80
33.9	1236.40
34.0	1264.00
34.1	1291.50
34.2	1319.00
34.3	1346.50
34.4	1374.00
34.5	1401.50
34.6	1429.00
34.7	1456.50
34.8	1484.00
34.9	1511.50
35.0	1539.00
35.1	1566.40
35.2	1593.80
35.3	1621.20
35.4	1648.60
35.5	1676.00
35.6	1703.40
35.7	1730.80
35.8	1758.20
35.9	1785.60
36.0	1813.00
36.1	1840.30
36.2	1867.60
36.3	1894.90
36.4	1922.20
36.5	1949.50
36.6	1976.80
36.7	2004.10
36.8	2031.40
36.9	2058.70
37.0	2086.00
37.1	2113.10
37.2	2140.20
37.3	2167.30
37.4	2194.40
37.5	2221.50
37.6	2248.60
37.7	2275.70
37.8	2302.80
37.9	2329.90
38.0	2357.00
38.1	2383.90
38.2	2410.80
38.3	2437.70
38.4	2464.60
38.5	2491.50
38.6	2518.40
38.7	2545.30
38.8	2572.20
38.9	2599.10
39.0	2626.00
39.1	2652.70
39.2	2679.40
39.3	2706.10
39.4	2732.80
39.5	2759.50
39.6	2786.20
39.7	2812.90
39.8	2839.60
39.9	2866.30
40.0	2893.00
40.1	2919.50
40.2	2946.00
40.3	2972.50
40.4	2999.00
40.5	3025.50
40.6	3052.00
40.7	3078.50
40.8	3105.00
40.9	3131.50
41.0	3158.00
41.1	3184.30
41.2	3210.60
41.3	3236.90
41.4	3263.20
41.5	3289.50
41.6	3315.80
41.7	3342.10
41.8	3368.40
41.9	3394.70
42.0	3421.00
42.1	3447.00
42.2	3473.00
42.3	3499.00
42.4	3525.00
42.5	3551.00
42.6	3577.00
42.7	3603.00
42.8	3629.00
42.9	3655.00
43.0	3681.00
43.1	3706.80
43.2	3732.60
43.3	3758.40
43.4	3784.20
43.5	3810.00
43.6	3835.80
43.7	3861.60
43.8	3887.40
43.9	3913.20
44.0	3939.00
